run,seed,regeneration-rate,num-turtles,search-radius,knowledge-gain,old-age,metabolism,shock-prob,reproduction-cost,[steps],numTurtles,meanFood,totKnowledge,knowledgeTranferred
1,1,0.1,100,5,0.1,75,0.1,0,0.5,999,183,1.289617486,21.5,21.5
2,2,0.1,100,5,0.1,75,0.1,0,0.5,999,209,1.13062201,29.6,29.6
3,3,0.1,100,5,0.1,75,0.1,0,0.5,999,203,1.160591133,15.9,15.9
4,4,0.1,100,5,0.1,75,0.1,0,0.5,999,160,1.22625,11.8,11.8
5,5,0.1,100,5,0.1,75,0.1,0,0.5,999,193,1.278238342,15.2,15.2
6,6,0.1,100,5,0.1,75,0.1,0,0.5,999,185,1.364864865,20.1,20.1
7,7,0.1,100,5,0.1,75,0.1,0,0.5,999,181,1.290055249,12.7,12.7
8,8,0.1,100,5,0.1,75,0.1,0,0.5,999,129,1.441085271,10.6,10.6
9,9,0.1,100,5,0.1,75,0.1,0,0.5,999,189,1.312698413,13.1,13.1
10,10,0.1,100,5,0.1,75,0.1,0,0.5,999,213,1.271361502,17.3,17.3
11,1,0.2,100,5,0.1,75,0.1,0,0.5,999,426,1.329342723,36,36
12,2,0.2,100,5,0.1,75,0.1,0,0.5,999,497,1.341247485,93.4,93.4
13,3,0.2,100,5,0.1,75,0.1,0,0.5,999,403,1.37866005,68.8,68.8
14,4,0.2,100,5,0.1,75,0.1,0,0.5,999,432,1.265046296,87.2,87.2
15,5,0.2,100,5,0.1,75,0.1,0,0.5,999,340,1.375,73.2,73.2
16,6,0.2,100,5,0.1,75,0.1,0,0.5,999,502,1.27250996,39.8,39.8
17,7,0.2,100,5,0.1,75,0.1,0,0.5,999,406,1.290640394,32,32
18,8,0.2,100,5,0.1,75,0.1,0,0.5,999,322,1.348447205,41.5,41.5
19,9,0.2,100,5,0.1,75,0.1,0,0.5,999,449,1.355902004,34.4,34.4
20,10,0.2,100,5,0.1,75,0.1,0,0.5,999,324,1.382098765,40.7,40.7
21,1,0.5,100,5,0.1,75,0.1,0,0.5,999,1079,1.301390176,177.9,177.9
22,2,0.5,100,5,0.1,75,0.1,0,0.5,999,1076,1.299163569,185.5,185.5
23,3,0.5,100,5,0.1,75,0.1,0,0.5,999,1087,1.312787489,181.5,181.5
24,4,0.5,100,5,0.1,75,0.1,0,0.5,999,1011,1.363105836,165.9,165.9
25,5,0.5,100,5,0.1,75,0.1,0,0.5,999,1021,1.29510284,172.7,172.7
26,6,0.5,100,5,0.1,75,0.1,0,0.5,999,1239,1.350847458,111.4,111.4
27,7,0.5,100,5,0.1,75,0.1,0,0.5,999,908,1.352092511,149,149
28,8,0.5,100,5,0.1,75,0.1,0,0.5,999,998,1.318737475,221.9,221.9
29,9,0.5,100,5,0.1,75,0.1,0,0.5,999,1066,1.296247655,177.6,177.6
30,10,0.5,100,5,0.1,75,0.1,0,0.5,999,974,1.285626283,162.8,162.8
31,1,0.1,100,5,0.25,75,0.1,0,0.5,999,183,1.289617486,53.75,53.75
32,2,0.1,100,5,0.25,75,0.1,0,0.5,999,188,1.309574468,65.5,65.5
33,3,0.1,100,5,0.25,75,0.1,0,0.5,999,203,1.160591133,39.75,39.75
34,4,0.1,100,5,0.25,75,0.1,0,0.5,999,160,1.22625,29.5,29.5
35,5,0.1,100,5,0.25,75,0.1,0,0.5,999,193,1.278238342,38,38
36,6,0.1,100,5,0.25,75,0.1,0,0.5,999,185,1.364864865,50.25,50.25
37,7,0.1,100,5,0.25,75,0.1,0,0.5,999,181,1.290055249,31.75,31.75
38,8,0.1,100,5,0.25,75,0.1,0,0.5,999,129,1.441085271,26.5,26.5
39,9,0.1,100,5,0.25,75,0.1,0,0.5,999,189,1.312698413,32.75,32.75
40,10,0.1,100,5,0.25,75,0.1,0,0.5,999,213,1.271361502,43.25,43.25
41,1,0.2,100,5,0.25,75,0.1,0,0.5,999,426,1.329342723,90,90
42,2,0.2,100,5,0.25,75,0.1,0,0.5,999,467,1.229122056,171,171
43,3,0.2,100,5,0.25,75,0.1,0,0.5,999,403,1.37866005,172,172
44,4,0.2,100,5,0.25,75,0.1,0,0.5,999,432,1.265046296,218,218
45,5,0.2,100,5,0.25,75,0.1,0,0.5,999,340,1.375,183,183
46,6,0.2,100,5,0.25,75,0.1,0,0.5,999,502,1.27250996,99.5,99.5
47,7,0.2,100,5,0.25,75,0.1,0,0.5,999,406,1.290640394,80,80
48,8,0.2,100,5,0.25,75,0.1,0,0.5,999,322,1.348447205,103.75,103.75
49,9,0.2,100,5,0.25,75,0.1,0,0.5,999,449,1.355902004,86,86
50,10,0.2,100,5,0.25,75,0.1,0,0.5,999,324,1.382098765,101.75,101.75
51,1,0.5,100,5,0.25,75,0.1,0,0.5,999,1079,1.301390176,444.75,444.75
52,2,0.5,100,5,0.25,75,0.1,0,0.5,999,1076,1.299163569,463.75,463.75
53,3,0.5,100,5,0.25,75,0.1,0,0.5,999,1087,1.312787489,453.75,453.75
54,4,0.5,100,5,0.25,75,0.1,0,0.5,999,1011,1.363105836,414.75,414.75
55,5,0.5,100,5,0.25,75,0.1,0,0.5,999,1021,1.29510284,431.75,431.75
56,6,0.5,100,5,0.25,75,0.1,0,0.5,999,1239,1.350847458,278.5,278.5
57,7,0.5,100,5,0.25,75,0.1,0,0.5,999,908,1.352092511,372.5,372.5
58,8,0.5,100,5,0.25,75,0.1,0,0.5,999,998,1.318737475,554.75,554.75
59,9,0.5,100,5,0.25,75,0.1,0,0.5,999,1066,1.296247655,444,444
60,10,0.5,100,5,0.25,75,0.1,0,0.5,999,974,1.285626283,407,407
61,1,0.1,100,5,0.5,75,0.1,0,0.5,999,209,1.218660287,115,115
62,2,0.1,100,5,0.5,75,0.1,0,0.5,999,186,1.3,131,131
63,3,0.1,100,5,0.5,75,0.1,0,0.5,999,224,1.305357143,105.5,105.5
64,4,0.1,100,5,0.5,75,0.1,0,0.5,999,160,1.22625,59,59
65,5,0.1,100,5,0.5,75,0.1,0,0.5,999,193,1.278238342,76,76
66,6,0.1,100,5,0.5,75,0.1,0,0.5,999,185,1.364864865,100.5,100.5
67,7,0.1,100,5,0.5,75,0.1,0,0.5,999,204,1.267647059,107,107
68,8,0.1,100,5,0.5,75,0.1,0,0.5,999,129,1.441085271,53,53
69,9,0.1,100,5,0.5,75,0.1,0,0.5,999,189,1.312698413,65.5,65.5
70,10,0.1,100,5,0.5,75,0.1,0,0.5,999,120,1.244166667,38,38
71,1,0.2,100,5,0.5,75,0.1,0,0.5,999,426,1.329342723,180,180
72,2,0.2,100,5,0.5,75,0.1,0,0.5,999,422,1.286255924,462.5,462.5
73,3,0.2,100,5,0.5,75,0.1,0,0.5,999,403,1.37866005,344,344
74,4,0.2,100,5,0.5,75,0.1,0,0.5,999,395,1.286075949,247,247
75,5,0.2,100,5,0.5,75,0.1,0,0.5,999,340,1.375,366,366
76,6,0.2,100,5,0.5,75,0.1,0,0.5,999,502,1.27250996,199,199
77,7,0.2,100,5,0.5,75,0.1,0,0.5,999,341,1.285043988,225.5,225.5
78,8,0.2,100,5,0.5,75,0.1,0,0.5,999,322,1.348447205,207.5,207.5
79,9,0.2,100,5,0.5,75,0.1,0,0.5,999,420,1.225238095,183.5,183.5
80,10,0.2,100,5,0.5,75,0.1,0,0.5,999,380,1.332105263,243,243
81,1,0.5,100,5,0.5,75,0.1,0,0.5,999,1157,1.288936906,504.5,504.5
82,2,0.5,100,5,0.5,75,0.1,0,0.5,999,1118,1.36019678,1327.5,1327.5
83,3,0.5,100,5,0.5,75,0.1,0,0.5,999,1087,1.312787489,907.5,907.5
84,4,0.5,100,5,0.5,75,0.1,0,0.5,999,1071,1.312698413,895.5,895.5
85,5,0.5,100,5,0.5,75,0.1,0,0.5,999,1021,1.29510284,863.5,863.5
