[run number],seed,regeneration-rate,num-turtles,search-radius,knowledge-gain,old-age,metabolism,shock-prob,reproduction-cost,[steps],variable,value
1,1,0.2,100,5,0.1,75,0.1,0,0.5,1000,numTurtles,0
1,,,,,,,,,,1000,meanFood,0
1,,,,,,,,,,1000,totKnowledge,0
2,2,0.2,100,5,0.1,75,0.1,0,0.5,999,numTurtles,209
2,,,,,,,,,,999,meanFood,1.13062201
2,,,,,,,,,,999,totKnowledge,29.6
3,3,0.2,100,5,0.1,75,0.1,0,0.5,999,numTurtles,203
3,,,,,,,,,,999,meanFood,1.160591133
3,,,,,,,,,,999,totKnowledge,15.9
4,4,0.2,100,5,0.1,75,0.1,0,0.5,999,numTurtles,160
4,,,,,,,,,,999,meanFood,1.22625
4,,,,,,,,,,999,totKnowledge,11.8
5,5,0.2,100,5,0.1,75,0.1,0,0.5,999,numTurtles,193
5,,,,,,,,,,999,meanFood,1.278238342
5,,,,,,,,,,999,totKnowledge,15.2
6,6,0.2,100,5,0.1,75,0.1,0,0.5,999,numTurtles,185
6,,,,,,,,,,999,meanFood,1.364864865
6,,,,,,,,,,999,totKnowledge,20.1
7,7,0.2,100,5,0.1,75,0.1,0,0.5,999,numTurtles,181
7,,,,,,,,,,999,meanFood,1.290055249
7,,,,,,,,,,999,totKnowledge,12.7
8,8,0.2,100,5,0.1,75,0.1,0,0.5,999,numTurtles,129
8,,,,,,,,,,999,meanFood,1.441085271
8,,,,,,,,,,999,totKnowledge,10.6
9,9,0.2,100,5,0.1,75,0.1,0,0.5,999,numTurtles,189
9,,,,,,,,,,999,meanFood,1.312698413
9,,,,,,,,,,999,totKnowledge,13.1
10,10,0.2,100,5,0.1,75,0.1,0,0.5,999,numTurtles,213
10,,,,,,,,,,999,meanFood,1.271361502
10,,,,,,,,,,999,totKnowledge,17.3
11,1,0.5,100,5,0.1,75,0.1,0,0.5,999,numTurtles,183
11,,,,,,,,,,999,meanFood,1.289617486
11,,,,,,,,,,999,totKnowledge,21.5
12,2,0.5,100,5,0.1,75,0.1,0,0.5,999,numTurtles,209
12,,,,,,,,,,999,meanFood,1.13062201
12,,,,,,,,,,999,totKnowledge,29.6
13,3,0.5,100,5,0.1,75,0.1,0,0.5,999,numTurtles,203
13,,,,,,,,,,999,meanFood,1.160591133
13,,,,,,,,,,999,totKnowledge,15.9
14,4,0.5,100,5,0.1,75,0.1,0,0.5,999,numTurtles,160
14,,,,,,,,,,999,meanFood,1.22625
14,,,,,,,,,,999,totKnowledge,11.8
15,5,0.5,100,5,0.1,75,0.1,0,0.5,999,numTurtles,193
15,,,,,,,,,,999,meanFood,1.278238342
15,,,,,,,,,,999,totKnowledge,15.2
16,6,0.5,100,5,0.1,75,0.1,0,0.5,999,numTurtles,185
16,,,,,,,,,,999,meanFood,1.364864865
16,,,,,,,,,,999,totKnowledge,20.1
17,7,0.5,100,5,0.1,75,0.1,0,0.5,999,numTurtles,181
17,,,,,,,,,,999,meanFood,1.290055249
17,,,,,,,,,,999,totKnowledge,12.7
18,8,0.5,100,5,0.1,75,0.1,0,0.5,999,numTurtles,129
18,,,,,,,,,,999,meanFood,1.441085271
18,,,,,,,,,,999,totKnowledge,10.6
19,9,0.5,100,5,0.1,75,0.1,0,0.5,999,numTurtles,189
19,,,,,,,,,,999,meanFood,1.312698413
19,,,,,,,,,,999,totKnowledge,13.1
20,10,0.5,100,5,0.1,75,0.1,0,0.5,999,numTurtles,213
20,,,,,,,,,,999,meanFood,1.271361502
20,,,,,,,,,,999,totKnowledge,17.3
21,1,1,100,5,0.1,75,0.1,0,0.5,999,numTurtles,183
21,,,,,,,,,,999,meanFood,1.289617486
21,,,,,,,,,,999,totKnowledge,21.5
22,2,1,100,5,0.1,75,0.1,0,0.5,999,numTurtles,209
22,,,,,,,,,,999,meanFood,1.13062201
22,,,,,,,,,,999,totKnowledge,29.6
23,3,1,100,5,0.1,75,0.1,0,0.5,999,numTurtles,203
23,,,,,,,,,,999,meanFood,1.160591133
23,,,,,,,,,,999,totKnowledge,15.9
24,4,1,100,5,0.1,75,0.1,0,0.5,999,numTurtles,160
24,,,,,,,,,,999,meanFood,1.22625
24,,,,,,,,,,999,totKnowledge,11.8
25,5,1,100,5,0.1,75,0.1,0,0.5,999,numTurtles,193
25,,,,,,,,,,999,meanFood,1.278238342
25,,,,,,,,,,999,totKnowledge,15.2
26,6,1,100,5,0.1,75,0.1,0,0.5,999,numTurtles,185
26,,,,,,,,,,999,meanFood,1.364864865
26,,,,,,,,,,999,totKnowledge,20.1
27,7,1,100,5,0.1,75,0.1,0,0.5,999,numTurtles,181
27,,,,,,,,,,999,meanFood,1.290055249
27,,,,,,,,,,999,totKnowledge,12.7
28,8,1,100,5,0.1,75,0.1,0,0.5,999,numTurtles,129
28,,,,,,,,,,999,meanFood,1.441085271
28,,,,,,,,,,999,totKnowledge,10.6
29,9,1,100,5,0.1,75,0.1,0,0.5,999,numTurtles,189
29,,,,,,,,,,999,meanFood,1.312698413
29,,,,,,,,,,999,totKnowledge,13.1
30,10,1,100,5,0.1,75,0.1,0,0.5,999,numTurtles,213
30,,,,,,,,,,999,meanFood,1.271361502
30,,,,,,,,,,999,totKnowledge,17.3
31,1,0.2,100,5,0.25,75,0.1,0,0.5,999,numTurtles,183
31,,,,,,,,,,999,meanFood,1.289617486
31,,,,,,,,,,999,totKnowledge,53.75
32,2,0.2,100,5,0.25,75,0.1,0,0.5,999,numTurtles,188
32,,,,,,,,,,999,meanFood,1.309574468
32,,,,,,,,,,999,totKnowledge,65.5
33,3,0.2,100,5,0.25,75,0.1,0,0.5,999,numTurtles,203
33,,,,,,,,,,999,meanFood,1.160591133
33,,,,,,,,,,999,totKnowledge,39.75
34,4,0.2,100,5,0.25,75,0.1,0,0.5,999,numTurtles,160
34,,,,,,,,,,999,meanFood,1.22625
34,,,,,,,,,,999,totKnowledge,29.5
35,5,0.2,100,5,0.25,75,0.1,0,0.5,999,numTurtles,193
35,,,,,,,,,,999,meanFood,1.278238342
35,,,,,,,,,,999,totKnowledge,38
36,6,0.2,100,5,0.25,75,0.1,0,0.5,999,numTurtles,185
36,,,,,,,,,,999,meanFood,1.364864865
36,,,,,,,,,,999,totKnowledge,50.25
37,7,0.2,100,5,0.25,75,0.1,0,0.5,999,numTurtles,181
37,,,,,,,,,,999,meanFood,1.290055249
37,,,,,,,,,,999,totKnowledge,31.75
38,8,0.2,100,5,0.25,75,0.1,0,0.5,999,numTurtles,129
38,,,,,,,,,,999,meanFood,1.441085271
38,,,,,,,,,,999,totKnowledge,26.5
39,9,0.2,100,5,0.25,75,0.1,0,0.5,999,numTurtles,189
39,,,,,,,,,,999,meanFood,1.312698413
39,,,,,,,,,,999,totKnowledge,32.75
40,10,0.2,100,5,0.25,75,0.1,0,0.5,999,numTurtles,213
40,,,,,,,,,,999,meanFood,1.271361502
